LoadDump: 320 x 240 : 3
LoadDump: 320 x 240 : 3
LoadDump: 320 x 240 : 3
LoadDump: 320 x 240 : 3
samples=288152 size=1 D=2 S=0
Background color: (1078947517,1193252365,1078573555)
0,6008,288152,0
1,6008,288152,0
2,6161,287999,0
3,6610,287550,0
4,6788,287372,0
5,6966,287194,0
6,7789,286371,0
7,8428,285732,0
8,8428,285732,0
9,8882,285278,0
10,9773,284387,0
11,10305,283855,0
12,11240,282920,0
13,11428,282732,0
14,12143,282017,0
15,13775,280385,0
16,13775,280385,0
17,13941,280219,0
18,15247,278913,0
19,16419,277741,0
20,16755,277405,0
21,17247,276913,0
22,18488,275672,0
23,18915,275245,0
24,18915,275245,0
25,19302,274858,0
26,19966,274194,0
27,21786,272374,0
28,22318,271842,0
29,22318,271842,0
30,24293,269867,0
31,25218,268942,0
32,25218,268942,0
33,25403,268757,0
34,26661,267499,0
35,27878,266282,0
36,28580,265580,0
37,29291,264869,0
38,29673,264487,0
39,31301,262859,0
40,31301,262859,0
41,31555,262605,0
42,33723,260437,0
43,34545,259615,0
44,34941,259219,0
45,35129,259031,0
46,36252,257908,0
47,37526,256634,0
48,37526,256634,0
49,37563,256597,0
50,38720,255440,0
51,40423,253737,0
52,41540,252620,0
53,41735,252425,0
54,42984,251176,0
55,44486,249674,0
56,44486,249674,0
57,45362,248798,0
58,46074,248086,0
59,46412,247748,0
60,47004,247156,0
61,47004,247156,0
62,47702,246458,0
63,49335,244825,0
64,49335,244825,0
65,49384,244776,0
66,51081,243079,0
67,52276,241884,0
68,52779,241381,0
69,53600,240560,0
70,54533,239627,0
71,55091,239069,0
72,55091,239069,0
73,55855,238305,0
74,56569,237591,0
75,58134,236026,0
76,58639,235521,0
77,59021,235139,0
78,60103,234057,0
79,60892,233268,0
80,60892,233268,0
81,60999,233161,0
82,62400,231760,0
83,62815,231345,0
84,63803,230357,0
85,64210,229950,0
86,64875,229285,0
87,66040,228120,0
88,66040,228120,0
89,66246,227914,0
90,68286,225874,0
91,69451,224709,0
92,70111,224049,0
93,70111,224049,0
94,70399,223761,0
95,70981,223179,0
96,70981,223179,0
97,71388,222772,0
98,71682,222478,0
99,72827,221333,0
100,73694,220466,0
101,73925,220235,0
102,75315,218845,0
103,75501,218659,0
104,75501,218659,0
105,75864,218296,0
106,76521,217639,0
107,77370,216790,0
108,77888,216272,0
109,78138,216022,0
110,78810,215350,0
111,80197,213963,0
112,80197,213963,0
113,80197,213963,0
114,80994,213166,0
115,82195,211965,0
116,82546,211614,0
117,83130,211030,0
118,83658,210502,0
119,84146,210014,0
120,84146,210014,0
121,84624,209536,0
122,85233,208927,0
123,86305,207855,0
124,86662,207498,0
125,86662,207498,0
126,87274,206886,0
127,87883,206277,0
128,87883,206277,0
129,87900,206260,0
130,88800,205360,0
131,89195,204965,0
132,89823,204337,0
133,90497,203663,0
134,91012,203148,0
135,92043,202117,0
136,92043,202117,0
137,92478,201682,0
138,93450,200710,0
139,93878,200282,0
140,94030,200130,0
141,94278,199882,0
142,95069,199089,2
143,95334,198824,2
144,95334,198824,2
145,95642,198516,2
146,96450,197708,2
147,97334,196824,2
148,97660,196498,2
149,97756,196402,2
150,98860,195298,2
151,99389,194769,2
152,99389,194769,2
153,99517,194641,2
154,100329,193829,2
155,100615,193543,2
156,101388,192769,3
157,101388,192769,3
158,101562,192595,3
159,102430,191727,3
160,102430,191727,3
161,102493,191664,3
162,103391,190766,3
163,103627,190530,3
164,103746,190411,3
165,104059,190098,3
166,104668,189489,3
167,105447,188710,3
168,105447,188710,3
169,105629,188528,3
170,106100,188057,3
171,106905,187252,3
172,108160,185996,4
173,108251,185905,4
174,108960,185196,4
175,109808,184348,4
176,109808,184348,4
177,109852,184304,4
178,109997,184159,4
179,110434,183722,4
180,110602,183554,4
181,110719,183437,4
182,110871,183285,4
183,111961,182195,4
184,111961,182195,4
185,112258,181898,4
186,113114,181042,4
187,113537,180619,4
188,113779,180377,4
189,113779,180377,4
190,114563,179593,4
191,114875,179281,4
192,114875,179281,4
193,114880,179276,4
194,115169,178987,4
195,116085,178071,4
196,116235,177921,4
197,116645,177511,4
198,117043,177113,4
199,117504,176652,4
200,117504,176652,4
201,117860,176296,4
202,118303,175853,4
203,118585,175570,5
204,118871,175284,5
205,119111,175044,5
206,119254,174901,5
207,120269,173886,5
208,120269,173886,5
209,120554,173601,5
210,121648,172507,5
211,122163,171992,5
212,122353,171802,5
213,122527,171628,5
214,122784,171371,5
